Description,Rate,TNFR,Ikk,pIkk,ppIkk,iIkk,NfkIkb,NfkpIkb,pNfkIkb,pNfkpIkb,pNfk,Nfk,pIkb,Ikb,mIkb,nIkb,pnNfk,nNfk,nNfkIkb,RnaA20_1,RnaA20,A20
TNFR act,uptake*TNF,1,,,,,,,,,,,,,,,,,,,,
TNFR deact,deact_TNFR*TNFR,-1,,,,,,,,,,,,,,,,,,,,
IKK phos by TNFR,act_Ikk_by_TNF*TNFR*Ikk,,-1,1,,,,,,,,,,,,,,,,,,
pIKK phos,act_pIkk*pIkk,,,-1,1,,,,,,,,,,,,,,,,,
ppIKK dephos,deact_ppIkk*ppIkk,,,,-1,1,,,,,,,,,,,,,,,,
IKK triggering,trigger_iIkk*iIkk,,1,,,-1,,,,,,,,,,,,,,,,
Ikb phos in NfkIkb by pIkk,(act_Ikb_by_Ikk)*pIkk*NfkIkb,,,,,,-1,1,,,,,,,,,,,,,,
Basal Ikb phos in pNfkIkb,(act_Ikb_complex)*pNfkIkb,,,,,,,,-1,1,,,,,,,,,,,,
Ikb phos in pNfkIkb by pIkk,(act_Ikb_by_Ikk)*pIkk*pNfkIkb,,,,,,,,-1,1,,,,,,,,,,,,
Nfk phos in NfkIkb by pIkk,(act_Nfk_by_Ikk)*pIkk*NfkIkb,,,,,,-1,,1,,,,,,,,,,,,,
Nfk phos in NfkpIkb by pIkk,(act_Nfk_by_Ikk_complex)*pIkk*NfkpIkb,,,,,,,-1,,1,,,,,,,,,,,,
Split NfkpIkb,split_NfkpIkb*NfkpIkb,,,,,,,-1,,,,1,1,,,,,,,,,
Split pNfkpIkb,split_NfkIkb*pNfkpIkb,,,,,,,,,-1,1,,1,,,,,,,,,
Form NfkIkb,form_complex*Nfk*Ikb,,,,,,1,,,,,-1,,-1,,,,,,,,
Prod mIkb by nNfk,prod_mIkb_by_nNfk*nNfk,,,,,,,,,,,,,,1,,,,,,,
Degrad mIkb,degrad_mIkb*mIkb,,,,,,,,,,,,,,-1,,,,,,,
Prod Ikb,prod_Ikb*mIkb,,,,,,,,,,,,,1,,,,,,,,
Degra pIkb,degrad_Ikb*pIkb,,,,,,,,,,,,-1,,,,,,,,,
Internalize Ikb,int_Ikb*Ikb,,,,,,,,,,,,,-1,,1,,,,,,
Internalize pNfk,(int_Nfk * eta_int_pNfk)*pNfk,,,,,,,,,,-1,,,,,,1,,,,,
Internalize Nfk,(int_Nfk)*Nfk,,,,,,,,,,,-1,,,,,,1,,,,
Dephos pnNfk,deact_pnNfk*pnNfk,,,,,,,,,,,,,,,,-1,1,,,,
Form nNkfIkb,form_complex_nuc*nNfk*nIkb,,,,,,,,,,,,,,,-1,,-1,1,,,
Externalize nNfkIkb,ext_nNfkIkb*nNfkIkb,,,,,,1,,,,,,,,,,,,-1,,,
build RNA A20,build_RnaA20*nNfk,,,,,,,,,,,,,,,,,,,1,,
shuttle RNA A20,shuttle_RnaA20*RnaA20_1,,,,,,,,,,,,,,,,,,,-1,1,
degrad RNA A20,degrad_RnaA20*RnaA20,,,,,,,,,,,,,,,,,,,,-1,
Prod A20,build_A20*RnaA20,,,,,,,,,,,,,,,,,,,,,1
Degrad A20,degrad_A20*A20,,,,,,,,,,,,,,,,,,,,,-1
